time,id
192052,45880daa
192053,45880daa
192114,ba71033c
192128,45880daa
192136,d2f3fb0b
192140,2275f70b
193157,72c8970c
193158,b27d1f0c
193202,8262f20b
193203,e282200c
213039,45880daa
213043,ba71033c
213059,e2889a0c
213103,0cdc290b
213132,324bfa0b
213135,72c8970c
213137,e2ae200c
213141,3274440c
213143,d2f3fb0b
213757,b27d1f0c
213801,e282200c
213806,324bfa0b
213812,72c8970c
213816,e2ae200c
213820,3274440c
213824,2275f70b
213830,d2f3fb0b
213834,e2889a0c
213838,0cdc290b
213841,8262f20b
213843,8262f20b
213848,1249fb0b
213853,b27d1f0c
213920,2275f70b
213930,72c8970c
213943,e2889a0c
213949,d2f3fb0b
213956,e2889a0c
214345,e282200c
214347,2275f70b
214351,72c8970c
214354,b27d1f0c
214356,1249fb0b
214358,8262f20b
214400,0cdc290b
214403,e2889a0c
221059,45880daa
221102,ba71033c
221103,45880daa
221113,e282200c
221555,8262f20b
221601,0cdc290b
221606,e2ae200c
221614,3274440c
221854,ba71033c
222707,45880daa
222709,ba71033c
222716,b27d1f0c
222719,72c8970c
222723,2275f70b
222728,2275f70b
222737,72c8970c
222744,ba71033c
222845,ba71033c
222848,45880daa
222850,ba71033c
222912,ba71033c
222914,45880daa
222916,ba71033c
222923,45880daa
222933,1249fb0b
222959,1249fb0b
223009,1249fb0b
223017,ba71033c
223023,e2889a0c
223026,d2f3fb0b
223030,e2ae200c
223034,8262f20b
223045,1249fb0b
223055,1249fb0b
223108,8262f20b
223133,8262f20b
223142,e2889a0c
223323,ba71033c
223325,45880daa
223328,45880daa
223352,45880daa
223353,ba71033c
223356,45880daa
223416,ba71033c
223417,45880daa
223419,45880daa
223610,45880daa
223611,ba71033c
223613,45880daa
223634,45880daa
223637,ba71033c
223638,ba71033c
223645,45880daa
223702,ba71033c
223705,45880daa
223709,ba71033c
223727,45880daa
223729,ba71033c
223730,ba71033c
223740,45880daa
224313,e2889a0c
224318,72c8970c
224323,ba71033c
224325,45880daa
224329,45880daa
224343,8262f20b
224347,e2ae200c
224355,72c8970c
224358,2275f70b
224404,324bfa0b
224413,b27d1f0c
224445,45880daa
224504,ba71033c
224630,45880daa
224810,45880daa
224813,ba71033c
224833,ba71033c
224835,45880daa
224839,8262f20b
224841,e2ae200c
224843,d2f3fb0b
224846,1249fb0b
224852,0cdc290b
224856,3274440c
224902,e282200c
224918,b27d1f0c
224921,324bfa0b
224925,2275f70b
224929,72c8970c
224931,e2889a0c
224934,e282200c
224937,3274440c
224940,0cdc290b
224943,1249fb0b
225001,b27d1f0c
225112,45880daa
225114,ba71033c
225117,b27d1f0c
225119,324bfa0b
225121,2275f70b
